Date,Market_Level
2016-06-03,49551.36
2016-06-06,49938.3
2016-06-07,50037.08
2016-06-08,50034.48
2016-06-09,49959.83
2016-06-10,49500.11
2016-06-14,48481.39
2016-06-15,47957.69
2016-06-16,47948.14
2016-06-17,48104.34
2016-06-20,48981.08
2016-06-21,49145.11
2016-06-22,49113.29
2016-06-23,49204.02
2016-06-24,47643.27
2016-06-27,47867.35
2016-06-28,47550.96
2016-06-29,48022.27
2016-06-30,48872.37
2016-07-01,48995.96
2016-07-04,49324.81
2016-07-05,48822.62
2016-07-06,48539.05
2016-07-07,48822.68
2016-07-08,48847.14
2016-07-11,49842.35
2016-07-12,49992.82
2016-07-13,50322.65
2016-07-14,50538.12
2016-07-15,50705.87
2016-07-18,50975.74
2016-07-19,50908.36
2016-07-20,51258.29
2016-07-21,51479.38
2016-07-22,51346.68
2016-07-25,51677.05
2016-07-26,51713.57
2016-07-27,51734.29
2016-07-28,51891.77
2016-07-29,51945.96
2016-08-01,52179.75
2016-08-02,51742.19
2016-08-03,51043.44
2016-08-04,51137.7
2016-08-05,51339.41
2016-08-08,51717.01
2016-08-09,51854.34
2016-08-10,51775.36
2016-08-11,51462.06
2016-08-12,51713.74
2016-08-15,51798.39
2016-08-16,51728.09
2016-08-17,51897.51
2016-08-18,51642.91
2016-08-19,51823.18
2016-08-22,51715.02
2016-08-23,52080.8
2016-08-24,52237.27
2016-08-25,52065.84
2016-08-26,51817.82
2016-08-29,51443.18
2016-08-30,51536.89
2016-08-31,51139.04
2016-09-01,51007.58
2016-09-02,50613.11
2016-09-05,51156.95
2016-09-06,51046.58
2016-09-07,51170.55
2016-09-08,50842.29
2016-09-09,50405.66
2016-09-12,49282.77
2016-09-13,49189.33
2016-09-14,49381.49
2016-09-15,49505.36
2016-09-16,50042.36
2016-09-19,50026.26
2016-09-20,50110.93
2016-09-21,50457.0
2016-09-22,50795.44
2016-09-23,51332.65
2016-09-26,51333.82
2016-09-27,51095.07
2016-09-28,51158.03
2016-09-29,51719.22
2016-09-30,51386.01
2016-10-03,51788.64
2016-10-04,51840.99
2016-10-05,51547.2
2016-10-06,51832.93
2016-10-07,51685.07
2016-10-10,51761.09
2016-10-11,51802.41
2016-10-12,51753.38
2016-10-13,51384.46
2016-10-14,51370.18
2016-10-17,50942.29
2016-10-18,51151.42
2016-10-19,51384.07
2016-10-20,51448.18
2016-10-21,51336.37
2016-10-24,51129.98
2016-10-25,51454.65
2016-10-26,50669.7
2016-10-27,50067.41
2016-10-28,49957.59
2016-10-31,50281.7
2016-11-01,50023.93
2016-11-02,49442.64
2016-11-03,49410.57
2016-11-04,49082.16
2016-11-07,49745.13
2016-11-08,49834.67
2016-11-09,48876.97
2016-11-10,50513.86
2016-11-11,50913.49
2016-11-14,50874.26
2016-11-15,50691.17
2016-11-16,50706.9
2016-11-17,50810.31
2016-11-18,51009.01
2016-11-21,50932.12
2016-11-22,51522.18
2016-11-23,52198.18
2016-11-24,52207.73
2016-11-25,52423.85
2016-11-28,52011.3
2016-11-29,51945.85
2016-11-30,51783.78
2016-12-01,52352.68
2016-12-02,51817.52
2016-12-05,51406.97
2016-12-06,51676.26
2016-12-07,52146.61
2016-12-08,52771.84
2016-12-09,52933.54
2016-12-12,52954.81
2016-12-13,52785.53
2016-12-14,53163.65
2016-12-15,52726.14
2016-12-16,52672.37
2016-12-19,52949.9
2016-12-20,53228.12
2016-12-21,53441.34
2016-12-22,53731.45
2016-12-23,53579.15
2016-12-28,54122.52
2016-12-29,54367.38
2016-12-30,54049.93
2017-01-03,54692.82
2017-01-04,54723.6
2017-01-05,54885.21
2017-01-06,54906.5
2017-01-09,55401.26
2017-01-10,54955.35
2017-01-11,55058.18
2017-01-12,55014.04
2017-01-13,54577.72
2017-01-16,54838.38
2017-01-17,54371.61
2017-01-18,54174.45
2017-01-19,54303.36
2017-01-20,53946.24
2017-01-23,53528.6
2017-01-24,53901.88
2017-01-25,54106.17
2017-01-27,54511.41
2017-01-30,54010.78
2017-01-31,53623.43
2017-02-01,53931.13
2017-02-02,53857.37
2017-02-03,53629.82
2017-02-06,53572.54
2017-02-07,53636.82
2017-02-08,53918.7
2017-02-09,54045.07
2017-02-10,54579.3
2017-02-13,54993.54
2017-02-14,54942.95
2017-02-15,55458.74
2017-02-16,55527.86
2017-02-17,55429.06
2017-02-20,55368.89
2017-02-21,55357.43
2017-02-22,55631.28
2017-02-23,55476.08
2017-02-24,55052.61
2017-02-27,54927.78
2017-02-28,54830.25
2017-03-01,54837.39
2017-03-02,55589.44
2017-03-03,55146.44
2017-03-06,55322.81
2017-03-07,55488.82
2017-03-08,55488.7
2017-03-09,55411.17
